selling_price,km_driven,fuel,seller_type,transmission,owner
60000,70000,Petrol,Individual,Manual,First Owner
135000,50000,Petrol,Individual,Manual,First Owner
600000,100000,Diesel,Individual,Manual,First Owner
250000,46000,Petrol,Individual,Manual,First Owner
450000,141000,Diesel,Individual,Manual,Second Owner
140000,125000,Petrol,Individual,Manual,First Owner
550000,25000,Petrol,Individual,Manual,First Owner
240000,60000,Petrol,Individual,Manual,Second Owner
850000,25000,Petrol,Individual,Manual,First Owner
365000,78000,CNG,Individual,Manual,First Owner
260000,35000,Petrol,Individual,Manual,First Owner
250000,100000,Petrol,Individual,Manual,First Owner
1650000,25000,Petrol,Dealer,Automatic,First Owner
60000,70000,Petrol,Individual,Manual,First Owner
135000,50000,Petrol,Individual,Manual,First Owner
600000,100000,Diesel,Individual,Manual,First Owner
250000,46000,Petrol,Individual,Manual,First Owner
450000,141000,Diesel,Individual,Manual,Second Owner
140000,125000,Petrol,Individual,Manual,First Owner
550000,25000,Petrol,Individual,Manual,First Owner
240000,60000,Petrol,Individual,Manual,Second Owner
850000,25000,Petrol,Individual,Manual,First Owner
365000,78000,CNG,Individual,Manual,First Owner
260000,35000,Petrol,Individual,Manual,First Owner
250000,100000,Petrol,Individual,Manual,First Owner
1650000,25000,Petrol,Dealer,Automatic,First Owner
585000,24000,Petrol,Dealer,Manual,First Owner
1195000,5000,Diesel,Dealer,Manual,First Owner
390000,33000,Diesel,Individual,Manual,Second Owner
1964999,28000,Diesel,Dealer,Automatic,First Owner
1425000,59000,Diesel,Dealer,Automatic,First Owner
975000,4500,Diesel,Dealer,Automatic,First Owner
1190000,175900,Diesel,Dealer,Automatic,First Owner
930000,14500,Petrol,Dealer,Manual,First Owner
525000,15000,Petrol,Individual,Manual,First Owner
1735000,50000,Diesel,Dealer,Automatic,First Owner
1375000,33800,Diesel,Dealer,Automatic,Second Owner
450000,130400,Diesel,Dealer,Automatic,Second Owner
900000,50000,Petrol,Individual,Automatic,First Owner
1300000,80000,Diesel,Individual,Manual,First Owner
1400000,10000,Petrol,Individual,Manual,First Owner
